,season,week,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,rush_attempts,rush_yards,avg_rush_yards,rush_touchdowns,expected_rush_yards,rush_yards_over_expected,rush_yards_over_expected_per_att,rush_pct_over_expected,carries,rushing_yards_before_contact_avg,rushing_yards_after_contact_avg,offense_pct,team_passing_yards,team_passing_tds,team_passing_first_downs,team_passing_epa,team_rushing_yards,team_rushing_tds,team_rushing_first_downs,team_rushing_epa,rushing_first_downs,rushing_epa,ffpts,temp_week,ffpts_target
106,2018,4,4.348000000000001,0.0,2.9105,15,70,4.666666666666667,0,58.29898728134433,-3.2989872813443317,-0.2537682524111024,0.3846153846153846,15.0,2.5,2.1,0.51,348.0,2.0,18.0,3.81177,117.0,0.0,6.0,-1.3351129,4.0,-1.3504205,7.0,,
110,2018,4,7.3428,9.090909090909092,3.2027142857142863,11,25,2.272727272727273,0,29.55988100158776,-4.559881001587758,-0.414534636507978,0.3636363636363636,11.0,1.0,1.3,0.54,354.0,6.0,15.0,23.282019,139.0,0.0,10.0,2.5545585,2.0,-2.7985945,2.5,,
112,2018,4,4.714333333333333,27.27272727272727,2.508181818181818,11,30,2.727272727272727,0,33.55610187090182,-3.55610187090182,-0.3232819882638018,0.3636363636363636,11.0,1.5,1.3,0.31,388.0,2.0,16.0,16.925495,126.0,1.0,5.0,-8.728751,1.0,-2.1610932,3.0,,
113,2018,4,3.5457971014492755,13.333333333333334,2.718266666666666,15,69,4.6,2,79.85412022427235,-10.85412022427235,-0.72360801495149,0.3333333333333333,15.0,3.7,0.9,0.6,337.0,3.0,20.0,16.202278,99.0,2.0,6.0,2.3924217,4.0,3.2444685,18.9,,
114,2018,4,2.9606153846153846,25.0,2.8692222222222217,20,130,6.5,0,110.82430761940246,19.17569238059754,0.958784619029877,0.45,20.0,2.9,3.6,0.54,,,,,,,,,5.0,-0.547113,13.0,,
115,2018,4,5.866666666666666,0.0,3.0756666666666668,11,27,2.4545454545454546,0,41.21778145674736,-14.21778145674736,-1.292525586977033,0.2727272727272727,11.0,0.1,2.4,0.37,298.0,1.0,12.0,-1.598061,141.0,1.0,9.0,-0.2374444,2.0,-4.9209976,2.7,,
116,2018,4,3.952448979591837,0.0,2.787583333333333,14,49,3.5,0,66.48358648540629,-17.483586485406292,-1.2488276061004495,0.2857142857142857,14.0,1.7,1.8,0.53,375.0,2.0,23.0,10.790722,119.0,1.0,6.0,-3.0661113,2.0,-1.7718512,4.9,,
120,2018,5,4.490819672131147,55.55555555555556,2.6316923076923078,18,61,3.388888888888889,0,62.41264030772837,-14.412640307728374,-0.8478023710428455,0.3529411764705882,18.0,1.6,1.8,0.45,349.0,2.0,22.0,-4.256314,147.0,1.0,9.0,-9.259921,3.0,-3.538438,6.1000000000000005,,
122,2018,5,6.036304347826087,25.0,2.7004117647058825,20,46,2.3,0,58.08912241835899,-12.08912241835899,-0.6044561209179495,0.3,20.0,1.6,0.8,0.99,375.0,1.0,18.0,4.1175137,88.0,0.0,4.0,-10.258869,3.0,-6.9179173,4.6000000000000005,,
124,2018,5,4.537068965517241,5.88235294117647,2.8752857142857144,17,58,3.411764705882353,0,63.39106845381532,-5.391068453815322,-0.3171216737538425,0.3529411764705882,17.0,2.4,1.0,0.97,237.0,2.0,12.0,-2.1175563,118.0,0.0,6.0,-5.4692125,3.0,-5.310496,5.800000000000001,,
127,2018,5,3.872459016393443,16.666666666666664,2.6028888888888893,12,61,5.083333333333333,0,48.71057406534705,12.289425934652948,1.0241188278877456,0.4166666666666667,12.0,3.2,1.9,0.38,377.0,2.0,19.0,-0.55378693,92.0,0.0,5.0,-1.5931239,3.0,-2.301758,6.1000000000000005,,
130,2018,5,5.078604651162791,42.85714285714285,2.7526923076923078,14,43,3.071428571428572,0,39.15238168086784,3.84761831913216,0.2748298799380114,0.6428571428571429,14.0,1.3,1.8,0.28,82.0,0.0,6.0,-11.173371,144.0,1.0,10.0,0.3473611,6.0,2.5750349,4.3,,
134,2018,5,5.675882352941176,25.0,3.2026250000000003,12,34,2.833333333333333,0,49.310702388307526,-15.310702388307526,-1.2758918656922935,0.4166666666666667,12.0,1.4,1.4,0.63,129.0,0.0,8.0,-3.619842,100.0,0.0,6.0,-5.6271257,2.0,-7.9970145,3.4000000000000004,,
135,2018,5,4.102444444444445,13.333333333333334,2.8046,15,45,3.0,0,67.19916136671215,-22.199161366712147,-1.479944091114143,0.2,15.0,0.7,2.3,0.67,365.0,3.0,20.0,5.489265,84.0,0.0,5.0,-1.1713971,3.0,-3.1696646,4.5,,
138,2018,5,3.5439285714285704,9.090909090909092,3.077,11,56,5.090909090909091,0,45.5661401608563,10.4338598391437,0.9485327126494272,0.4545454545454545,11.0,1.6,3.5,0.39,129.0,0.0,8.0,-3.619842,100.0,0.0,6.0,-5.6271257,3.0,0.6732912,5.6000000000000005,,
139,2018,5,6.144090909090909,58.333333333333336,2.5359000000000003,12,22,1.8333333333333333,2,43.26155706704223,-21.261557067042236,-1.7717964222535194,0.25,12.0,1.2,0.7,0.29,183.0,2.0,9.0,7.110421,94.0,2.0,6.0,-4.172221,4.0,-0.76967245,14.2,,
140,2018,5,2.5643589743589743,25.0,2.719090909090909,12,78,6.5,1,42.44085501810507,35.55914498189493,2.9632620818245776,0.5,12.0,4.3,1.4,0.42,198.0,3.0,9.0,8.241571,190.0,1.0,8.0,5.1964245,3.0,2.3562882,13.8,,
143,2018,5,3.7407547169811313,10.0,2.8217,10,53,5.3,0,48.423211162020735,4.576788837979265,0.4576788837979265,0.4,10.0,4.2,1.1,0.93,430.0,1.0,20.0,-21.013685,101.0,1.0,6.0,8.21839,2.0,0.4132392,5.300000000000001,,
146,2018,5,3.0458571428571424,16.666666666666664,2.8156666666666665,12,70,5.833333333333333,0,43.74768413051076,26.252315869489244,2.187692989124104,0.5833333333333334,12.0,4.3,1.6,0.47,183.0,2.0,9.0,7.110421,94.0,2.0,6.0,-4.172221,2.0,-0.45341116,7.0,,
147,2018,5,4.588490566037737,37.5,2.5295625,16,53,3.3125,2,57.74317289953194,-7.743172899531942,-0.5162115266354628,0.3333333333333333,16.0,1.3,2.1,0.55,363.0,3.0,15.0,24.540741,98.0,3.0,8.0,-1.3098807,5.0,0.37561327,17.3,,
149,2018,6,3.8718644067796606,7.142857142857142,2.5582142857142856,14,59,4.214285714285714,0,40.12226142857462,16.877738571425382,1.2982875824173372,0.3846153846153846,14.0,1.2,3.0,0.42,222.0,3.0,11.0,12.019702,155.0,0.0,6.0,-1.0539559,1.0,-1.142606,5.9,,
151,2018,6,3.730169491525424,12.5,2.933733333333334,16,59,3.6875,0,57.252594592857406,-1.252594592857406,-0.0835063061904937,0.4666666666666667,16.0,1.1,2.6,0.45,280.0,2.0,12.0,13.508938,107.0,0.0,5.0,-8.16814,4.0,0.08538561,5.9,,
155,2018,6,3.0727027027027027,57.89473684210527,2.812058823529412,19,111,5.842105263157895,2,91.88522881448766,12.11477118551234,0.6730428436395743,0.3333333333333333,19.0,4.1,1.8,0.9,369.0,1.0,16.0,19.04877,112.0,2.0,7.0,1.5445696,7.0,1.9466977,23.1,,
156,2018,6,2.8128787878787875,38.88888888888889,2.813375,18,132,7.333333333333333,3,76.40176974654507,40.59823025345493,2.388131191379702,0.5882352941176471,18.0,2.2,5.1,0.63,215.0,2.0,7.0,4.826333,246.0,3.0,15.0,9.243935,8.0,9.323995,31.200000000000003,,
157,2018,6,4.188360655737704,7.142857142857142,2.873214285714285,14,61,4.357142857142857,1,57.30057561374673,3.69942438625327,0.2642445990180907,0.5,14.0,2.8,1.6,0.47,245.0,2.0,8.0,9.623563,174.0,1.0,9.0,6.779196,4.0,1.3859028,12.1,,
159,2018,6,2.9428735632183907,16.666666666666664,2.8214545454545448,12,87,7.25,0,50.10979138992189,36.89020861007811,3.074184050839843,0.5,12.0,2.3,4.9,0.4,245.0,2.0,8.0,9.623563,174.0,1.0,9.0,6.779196,4.0,3.2895713,8.700000000000001,,
163,2018,6,3.528809523809523,10.0,2.6349000000000005,10,42,4.2,0,41.25309101167482,0.7469089883251812,0.0746908988325181,0.5,10.0,1.0,3.2,0.18,238.0,1.0,13.0,10.215831,123.0,2.0,9.0,-1.3855307,3.0,1.6516476,4.2,,
164,2018,6,3.309622641509433,29.166666666666668,2.521333333333334,24,106,4.416666666666667,2,117.05053536918273,-11.050535369182723,-0.4604389737159469,0.375,24.0,2.9,1.5,0.47,340.0,1.0,14.0,2.1071923,173.0,3.0,15.0,7.9657407,9.0,3.8088298,22.6,,
166,2018,6,5.679607843137253,5.555555555555555,2.8428750000000003,18,51,2.833333333333333,0,63.42999170903053,-12.429991709030531,-0.6905550949461406,0.3888888888888889,18.0,1.2,1.6,0.62,278.0,3.0,15.0,18.981247,108.0,1.0,5.0,-3.2003162,2.0,-4.991804,5.1000000000000005,,
171,2018,6,3.735813953488372,9.090909090909092,2.883272727272728,11,43,3.909090909090909,1,48.69977621965758,-5.699776219657579,-0.5181614745143254,0.2727272727272727,11.0,2.4,1.5,0.37,278.0,3.0,15.0,18.981247,108.0,1.0,5.0,-3.2003162,2.0,0.27471894,10.3,,
172,2018,6,4.891555555555555,23.07692307692308,3.1183636363636364,13,45,3.4615384615384617,0,40.60488763959234,4.3951123604076585,0.3380855661852045,0.6923076923076923,13.0,0.6,2.8,0.5,,,,,,,,,2.0,-2.37786,4.5,,
173,2018,6,3.6934246575342464,25.0,3.0058,16,73,4.5625,0,75.14700014550317,-2.14700014550317,-0.1341875090939481,0.4375,16.0,3.6,0.9,0.76,145.0,1.0,8.0,-11.176035,100.0,0.0,4.0,-3.959712,3.0,-0.4622234,7.300000000000001,,
174,2018,6,8.03181818181818,27.27272727272727,2.9080000000000004,11,22,2.0,1,38.42663798378554,-16.42663798378554,-1.4933307257986854,0.2727272727272727,11.0,-0.1,2.1,0.46,355.0,3.0,19.0,16.450903,70.0,1.0,6.0,-1.6648171,3.0,-2.9480886,8.2,,
177,2018,6,6.670588235294118,14.285714285714285,3.4209285714285715,14,34,2.4285714285714284,0,49.349641649406216,-18.349641649406216,-1.4115108961081704,0.3076923076923077,14.0,-0.2,2.6,0.43,238.0,1.0,13.0,-23.239529,103.0,0.0,4.0,-2.0705974,1.0,-6.768256,3.4000000000000004,,
178,2018,6,3.605087719298247,0.0,2.4236153846153843,13,57,4.384615384615385,0,49.50466384849474,7.495336151505256,0.5765643193465582,0.4615384615384615,13.0,1.7,2.7,0.63,380.0,3.0,15.0,8.651353,161.0,0.0,6.0,-3.6539466,3.0,-6.381843,5.7,,
