season,week,player,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,rush_attempts,rush_yards,avg_rush_yards,rush_touchdowns,expected_rush_yards,rush_yards_over_expected,rush_yards_over_expected_per_att,rush_pct_over_expected,team,opponent,carries,rushing_yards_before_contact_avg,rushing_yards_after_contact_avg,offense_pct,team_passing_yards,team_passing_tds,team_passing_first_downs,team_passing_epa,team_rushing_yards,team_rushing_tds,team_rushing_first_downs,team_rushing_epa,rushing_first_downs,rushing_epa,draft_number,age,games_played,draft_pos_decay,fpts_gained,fpts_lost,ffpts,ffpts_target
2018,2,Joe Mixon,4.505952380952381,38.095238095238095,3.0027058823529402,21,84,4.0,0,64.87095769914369,11.129042300856312,0.5564521150428157,0.4,CIN,BAL,21.0,2.6,1.4,0.51,265.0,4.0,14.0,9.404592,108.0,0.0,6.0,-4.215866,4.0,-2.3437557,48.0,22.138,1,48.0,,,8.4,
2018,3,Giovani Bernard,3.846393442622951,58.333333333333336,3.1955,12,61,5.083333333333333,1,52.03832959633661,8.96167040366339,0.7468058669719492,0.4166666666666667,CIN,CAR,12.0,2.5,2.6,0.88,352.0,2.0,18.0,3.4022253,66.0,1.0,6.0,1.31474,6.0,1.2608006,37.0,26.836,2,18.5,2.4466666440169016,3.262222192022536,12.100000000000001,18.9
2018,3,Isaiah Crowell,8.193529411764706,37.5,3.3147272727272723,16,34,2.125,2,43.59859974677427,-9.59859974677427,-0.5999124841733918,0.375,NYJ,CLE,16.0,0.7,1.4,0.46,169.0,0.0,9.0,-2.018507,107.0,2.0,5.0,-0.4354214,2.0,-0.99635404,,25.697,2,,,,15.4,
2018,3,Alex Collins,4.608235294117646,55.55555555555556,3.0521764705882353,18,68,3.7777777777777777,1,66.09987420573644,-2.099874205736441,-0.12352201210214359,0.47058823529411764,BAL,DEN,18.0,2.2,1.6,0.49,277.0,1.0,13.0,6.8751802,77.0,2.0,5.0,-2.2061076,3.0,-1.1062405,171.0,24.077,2,85.5,,,12.8,4.2
2018,3,Jordan Howard,5.050983606557377,41.66666666666667,2.6280999999999994,24,61,2.5416666666666665,1,76.40621060872665,-15.406210608726653,-0.6419254420302772,0.375,CHI,ARI,24.0,0.3,2.2,0.62,220.0,0.0,11.0,-3.2481341,122.0,1.0,7.0,-0.72254664,5.0,-5.265808,150.0,23.89,2,75.0,,,12.100000000000001,2.5
2018,3,Carlos Hyde,3.728775510204082,30.434782608695656,2.8934545454545453,23,98,4.260869565217392,2,121.21383133994284,-30.213831339942843,-1.3733559699974018,0.36363636363636365,CLE,NYJ,23.0,1.6,2.7,0.58,220.0,0.0,10.0,-2.6303616,133.0,2.0,9.0,-2.4903927,7.0,-1.8803567,57.0,28.0,2,28.5,0.0,0.0,21.8,14.200000000000001
2018,3,Marshawn Lynch,4.387343750000001,10.526315789473683,2.777,19,64,3.3684210526315788,1,57.894799996645396,6.105200003354604,0.3213263159660318,0.5789473684210527,OAK,MIA,19.0,0.4,2.9,0.55,,,,,,,,,4.0,0.59165275,12.0,32.422,2,6.0,,,12.4,13.0
2018,3,LeGarrette Blount,5.2749999999999995,31.25,3.0045714285714284,16,48,3.0,0,58.1598898902212,-10.159889890221201,-0.6349931181388251,0.4375,DET,NE,16.0,1.3,1.7,0.36,262.0,2.0,16.0,5.894612,159.0,0.0,8.0,-1.7832443,2.0,-2.8924627,,31.8,2,,,,4.800000000000001,
2018,3,Melvin Gordon,3.7823750000000005,53.333333333333336,3.2429285714285707,15,80,5.333333333333333,1,55.41554502300047,24.58445497699953,1.6389636651333022,0.3333333333333333,LAC,LA,15.0,1.9,3.4,0.77,226.0,2.0,9.0,7.589841,141.0,1.0,7.0,4.8212876,5.0,2.5712767,15.0,25.446,2,7.5,,,14.0,10.4
2018,3,Derrick Henry,5.018771929824561,44.44444444444444,2.7700625000000003,18,57,3.1666666666666665,0,62.60098736500951,-5.600987365009509,-0.3111659647227505,0.3888888888888889,TEN,JAX,18.0,1.2,2.0,0.52,108.0,0.0,6.0,-3.0288086,150.0,0.0,7.0,-4.7875657,1.0,-5.473337,45.0,24.717,2,22.5,,,5.7,
